Vendor Location,Participant Category,Year Month, Number of Participants Redeemed , Number Vouchers Redeemed ,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
AMADOR              ,Prenatal  ,2010-06,68,222,"$2,922.57 ",$42.98 ,,,,
AMADOR              ,Prenatal  ,2010-07,51,169,"$2,277.16 ",$44.65 ,,,,
AMADOR              ,Prenatal  ,2010-08,53,175,"$2,358.48 ",$44.50 ,,,,
AMADOR              ,Prenatal  ,2010-09,54,177,"$2,321.14 ",$42.98 ,,,,
AMADOR              ,Prenatal  ,2010-10,55,180,"$2,337.56 ",$42.50 ,,,,
AMADOR              ,Prenatal  ,2010-11,56,176,"$2,454.83 ",$43.84 ,,,,
AMADOR              ,Prenatal  ,2010-12,48,146,"$1,951.28 ",$40.65 ,,,,
AMADOR              ,Prenatal  ,2011-01,57,191,"$2,535.33 ",$44.48 ,,,,
AMADOR              ,Prenatal  ,2011-02,63,204,"$2,693.63 ",$42.76 ,,,,
AMADOR              ,Prenatal  ,2011-03,72,226,"$3,096.31 ",$43.00 ,,,,
AMADOR              ,Prenatal  ,2011-04,65,225,"$3,108.24 ",$47.82 ,,,,
AMADOR              ,Prenatal  ,2011-05,71,222,"$3,078.69 ",$43.36 ,,,,
AMADOR              ,Prenatal  ,2011-06,65,204,"$2,864.10 ",$44.06 ,,,,
AMADOR              ,Prenatal  ,2011-07,72,237,"$3,335.29 ",$46.32 ,,,,
AMADOR              ,Prenatal  ,2011-08,80,249,"$3,625.94 ",$45.32 ,,,,
AMADOR              ,Prenatal  ,2011-09,67,222,"$3,084.26 ",$46.03 ,,,,
AMADOR              ,Prenatal  ,2011-10,66,211,"$2,938.88 ",$44.53 ,,,,
AMADOR              ,Prenatal  ,2011-11,67,226,"$3,248.62 ",$48.49 ,,,,
AMADOR              ,Prenatal  ,2011-12,67,231,"$3,330.26 ",$49.71 ,,,,
AMADOR              ,Prenatal  ,2012-01,71,243,"$3,546.59 ",$49.95 ,,,,
AMADOR              ,Prenatal  ,2012-02,68,224,"$3,134.85 ",$46.10 ,,,,
AMADOR              ,Prenatal  ,2012-03,82,279,"$3,966.50 ",$48.37 ,,,,
AMADOR              ,Prenatal  ,2012-04,78,263,"$3,673.92 ",$47.10 ,,,,
AMADOR              ,Prenatal  ,2012-05,88,299,"$4,110.24 ",$46.71 ,,,,
AMADOR              ,Prenatal  ,2012-06,80,262,"$3,579.71 ",$44.75 ,,,,
AMADOR              ,Prenatal  ,2012-07,90,295,"$3,965.18 ",$44.06 ,,,,
AMADOR              ,Prenatal  ,2012-08,83,269,"$3,666.44 ",$44.17 ,,,,
AMADOR              ,Prenatal  ,2012-09,64,207,"$2,835.55 ",$44.31 ,,,,
AMADOR              ,Prenatal  ,2012-10,52,165,"$2,280.90 ",$43.86 ,,,,
AMADOR              ,Prenatal  ,2012-11,45,163,"$2,324.05 ",$51.65 ,,,,
AMADOR              ,Prenatal  ,2012-12,55,178,"$2,606.12 ",$47.38 ,,,,
AMADOR              ,Prenatal  ,2013-01,56,179,"$2,501.49 ",$44.67 ,,,,
AMADOR              ,Prenatal  ,2013-02,60,203,"$2,905.70 ",$48.43 ,,,,
AMADOR              ,Prenatal  ,2013-03,66,220,"$3,140.22 ",$47.58 ,,,,
AMADOR              ,Prenatal  ,2013-04,59,196,"$2,764.92 ",$46.86 ,,,,
AMADOR              ,Prenatal  ,2013-05,63,207,"$2,901.74 ",$46.06 ,,,,
AMADOR              ,Prenatal  ,2013-06,63,206,"$2,803.20 ",$44.50 ,,,,
AMADOR              ,Prenatal  ,2013-07,61,200,"$2,794.08 ",$45.80 ,,,,
AMADOR              ,Prenatal  ,2013-08,65,200,"$2,779.52 ",$42.76 ,,,,
AMADOR              ,Prenatal  ,2013-09,69,223,"$3,140.15 ",$45.51 ,,,,
AMADOR              ,Prenatal  ,2013-10,67,220,"$3,101.08 ",$46.28 ,,,,
AMADOR              ,Prenatal  ,2013-11,67,209,"$3,012.31 ",$44.96 ,,,,
AMADOR              ,Prenatal  ,2013-12,62,210,"$3,055.43 ",$49.28 ,,,,
AMADOR              ,Prenatal  ,2014-01,62,206,"$2,983.90 ",$48.13 ,,,,
AMADOR              ,Prenatal  ,2014-02,71,232,"$3,381.48 ",$47.63 ,,,,
AMADOR              ,Prenatal  ,2014-03,73,233,"$3,362.12 ",$46.06 ,,,,
AMADOR              ,Prenatal  ,2014-04,67,239,"$3,519.12 ",$52.52 ,,,,
AMADOR              ,Prenatal  ,2014-05,69,238,"$3,637.73 ",$52.72 ,,,,
AMADOR              ,Prenatal  ,2014-06,71,233,"$3,582.50 ",$50.46 ,,,,
AMADOR              ,Prenatal  ,2014-07,69,231,"$3,504.62 ",$50.79 ,,,,
AMADOR              ,Prenatal  ,2014-08,67,216,"$3,224.61 ",$48.13 ,,,,
AMADOR              ,Prenatal  ,2014-09,78,252,"$3,926.91 ",$50.35 ,,,,
AMADOR              ,Prenatal  ,2014-10,76,247,"$3,719.67 ",$48.94 ,,,,
AMADOR              ,Prenatal  ,2014-11,67,220,"$3,443.78 ",$51.40 ,,,,
AMADOR              ,Prenatal  ,2014-12,66,213,"$3,257.55 ",$49.36 ,,,,
AMADOR              ,Prenatal  ,2015-01,69,219,"$3,316.56 ",$48.07 ,,,,
AMADOR              ,Prenatal  ,2015-02,67,219,"$3,193.90 ",$47.67 ,,,,
AMADOR              ,Prenatal  ,2015-03,78,246,"$3,451.86 ",$44.25 ,,,,
AMADOR              ,Prenatal  ,2015-04,63,193,"$2,696.13 ",$42.80 ,,,,
AMADOR              ,Prenatal  ,2015-05,56,183,"$2,569.87 ",$45.89 ,,,,
AMADOR              ,Prenatal  ,2015-06,52,155,"$2,222.57 ",$42.74 ,,,,
AMADOR              ,Prenatal  ,2015-07,61,185,"$2,612.27 ",$42.82 ,,,,
AMADOR              ,Prenatal  ,2015-08,65,211,"$2,950.15 ",$45.39 ,,,,
AMADOR              ,Prenatal  ,2015-09,52,175,"$2,490.27 ",$47.89 ,,,,
AMADOR              ,Prenatal  ,2015-10,54,174,"$2,516.38 ",$46.60 ,,,,
AMADOR              ,Prenatal  ,2015-11,69,213,"$2,972.14 ",$43.07 ,,,,
AMADOR              ,Prenatal  ,2015-12,64,206,"$2,850.22 ",$44.53 ,,,,
AMADOR              ,Prenatal  ,2016-01,55,171,"$2,563.47 ",$46.61 ,,,,
AMADOR              ,Prenatal  ,2016-02,56,188,"$2,787.82 ",$49.78 ,,,,
AMADOR              ,Prenatal  ,2016-03,60,191,"$2,797.05 ",$46.62 ,,,,
AMADOR              ,Prenatal  ,2016-04,54,183,"$2,632.60 ",$48.75 ,,,,
AMADOR              ,Prenatal  ,2016-05,55,184,"$2,660.08 ",$48.37 ,,,,
AMADOR              ,Prenatal  ,2016-06,55,177,"$2,522.59 ",$45.87 ,,,,
AMADOR              ,Prenatal  ,2016-07,61,199,"$2,785.98 ",$45.67 ,,,,
AMADOR              ,Prenatal  ,2016-08,57,192,"$2,749.23 ",$48.23 ,,,,
AMADOR              ,Prenatal  ,2016-09,58,195,"$2,638.40 ",$45.49 ,,,,
AMADOR              ,Prenatal  ,2016-10,59,178,"$2,527.54 ",$42.84 ,,,,
AMADOR              ,Prenatal  ,2016-11,62,188,"$2,648.00 ",$42.71 ,,,,
AMADOR              ,Prenatal  ,2016-12,62,174,"$2,573.36 ",$41.51 ,,,,
AMADOR              ,Prenatal  ,2017-01,58,165,"$2,452.55 ",$42.29 ,,,,
AMADOR              ,Prenatal  ,2017-02,60,185,"$2,697.04 ",$44.95 ,,,,
AMADOR              ,Prenatal  ,2017-03,62,184,"$2,642.45 ",$42.62 ,,,,
AMADOR              ,Prenatal  ,2017-04,59,168,"$2,354.56 ",$39.91 ,,,,
AMADOR              ,Prenatal  ,2017-05,53,170,"$2,258.38 ",$42.61 ,,,,
AMADOR              ,Prenatal  ,2017-06,52,150,"$2,111.73 ",$40.61 ,,,,
AMADOR              ,Prenatal  ,2017-07,55,158,"$2,356.88 ",$42.85 ,,,,
AMADOR              ,Prenatal  ,2017-08,51,158,"$2,249.37 ",$44.11 ,,,,
AMADOR              ,Prenatal  ,2017-09,48,165,"$2,338.18 ",$48.71 ,,,,
AMADOR              ,Prenatal  ,2017-10,41,143,"$2,121.64 ",$51.75 ,,,,
AMADOR              ,Prenatal  ,2017-11,49,148,"$2,167.88 ",$44.24 ,,,,
AMADOR              ,Prenatal  ,2017-12,39,125,"$1,831.37 ",$46.96 ,,,,
AMADOR              ,Prenatal  ,2018-01,37,129,"$1,818.02 ",$49.14 ,,,,
AMADOR              ,Prenatal  ,2018-02,43,132,"$1,936.82 ",$45.04 ,,,,
AMADOR              ,Prenatal  ,2018-03,53,171,"$2,495.69 ",$47.09 ,,,,
AMADOR              ,Prenatal  ,2018-04,49,154,"$2,216.53 ",$45.24 ,,,,
AMADOR              ,Prenatal  ,2018-05,55,164,"$2,365.15 ",$43.00 ,,,,
AMADOR              ,Prenatal  ,2018-06,45,148,"$2,109.70 ",$46.88 ,,,,
AMADOR              ,Prenatal  ,2018-07,44,134,"$1,974.89 ",$44.88 ,,,,
AMADOR              ,Prenatal  ,2018-08,56,182,"$2,636.21 ",$47.08 ,,,,
AMADOR              ,Prenatal  ,2018-09,53,181,"$2,586.99 ",$48.81 ,,,,
AMADOR              ,Prenatal  ,2018-10,38,117,"$1,733.37 ",$45.62 ,,,,
AMADOR              ,Prenatal  ,2018-11,37,116,"$1,657.91 ",$44.81 ,,,,
AMADOR              ,Prenatal  ,2018-12,36,128,"$1,833.47 ",$50.93 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-01,591,"2,447","$32,855.29 ",$55.59 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-02,601,"2,426","$32,142.46 ",$53.48 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-03,608,"2,458","$32,249.44 ",$53.04 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-04,585,"2,414","$31,401.04 ",$53.68 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-05,563,"2,331","$30,052.09 ",$53.38 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-06,586,"2,391","$31,025.57 ",$52.94 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-07,616,"2,492","$31,993.43 ",$51.94 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-08,609,"2,505","$32,181.84 ",$52.84 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-09,595,"2,447","$31,762.61 ",$53.38 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-10,588,"2,380","$31,114.52 ",$52.92 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-11,599,"2,396","$31,281.65 ",$52.22 ,,,,
BUTTE               ,Breastfeeding Mother  ,2010-12,572,"2,349","$30,411.38 ",$53.17 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-01,603,"2,420","$31,445.10 ",$52.15 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-02,599,"2,450","$32,177.93 ",$53.72 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-03,612,"2,505","$33,304.19 ",$54.42 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-04,595,"2,448","$33,485.45 ",$56.28 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-05,609,"2,498","$34,317.14 ",$56.35 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-06,590,"2,378","$32,764.86 ",$55.53 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-07,570,"2,340","$33,032.06 ",$57.95 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-08,572,"2,372","$33,737.46 ",$58.98 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-09,541,"2,221","$31,717.32 ",$58.63 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-10,521,"2,115","$30,708.38 ",$58.94 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-11,535,"2,189","$31,166.05 ",$58.25 ,,,,
BUTTE               ,Breastfeeding Mother  ,2011-12,554,"2,244","$32,028.39 ",$57.81 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-01,584,"2,332","$33,213.06 ",$56.87 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-02,556,"2,187","$30,821.72 ",$55.43 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-03,540,"2,166","$30,609.72 ",$56.68 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-04,552,"2,211","$31,027.03 ",$56.21 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-05,589,"2,344","$32,278.30 ",$54.80 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-06,538,"2,160","$29,852.01 ",$55.49 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-07,539,"2,176","$30,525.78 ",$56.63 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-08,556,"2,264","$31,981.13 ",$57.52 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-09,554,"2,304","$32,822.02 ",$59.25 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-10,550,"2,232","$32,323.03 ",$58.77 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-11,561,"2,249","$32,624.46 ",$58.15 ,,,,
BUTTE               ,Breastfeeding Mother  ,2012-12,533,"2,195","$31,488.42 ",$59.08 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-01,558,"2,244","$32,395.19 ",$58.06 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-02,538,"2,199","$31,646.11 ",$58.82 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-03,504,"2,072","$29,451.87 ",$58.44 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-04,488,"2,054","$29,232.90 ",$59.90 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-05,516,"2,141","$30,752.02 ",$59.60 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-06,542,"2,265","$32,096.71 ",$59.22 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-07,537,"2,201","$31,196.86 ",$58.09 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-08,503,"2,060","$29,199.59 ",$58.05 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-09,520,"2,121","$29,918.09 ",$57.53 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-10,527,"2,135","$30,299.38 ",$57.49 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-11,504,"2,046","$29,259.51 ",$58.05 ,,,,
BUTTE               ,Breastfeeding Mother  ,2013-12,499,"2,034","$29,247.82 ",$58.61 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-01,552,"2,233","$32,178.51 ",$58.29 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-02,554,"2,218","$32,659.69 ",$58.95 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-03,563,"2,285","$33,957.37 ",$60.32 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-04,575,"2,314","$34,756.46 ",$60.45 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-05,585,"2,358","$34,762.66 ",$59.42 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-06,555,"2,246","$33,493.86 ",$60.35 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-07,591,"2,388","$36,083.79 ",$61.06 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-08,592,"2,412","$35,963.82 ",$60.75 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-09,578,"2,309","$34,753.70 ",$60.13 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-10,559,"2,197","$32,454.93 ",$58.06 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-11,569,"2,240","$33,893.57 ",$59.57 ,,,,
BUTTE               ,Breastfeeding Mother  ,2014-12,544,"2,166","$32,648.78 ",$60.02 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-01,556,"2,221","$33,265.71 ",$59.83 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-02,555,"2,118","$30,804.73 ",$55.50 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-03,545,"2,143","$30,365.83 ",$55.72 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-04,568,"2,259","$31,391.67 ",$55.27 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-05,557,"2,154","$30,361.99 ",$54.51 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-06,520,"2,119","$29,926.02 ",$57.55 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-07,556,"2,196","$31,674.54 ",$56.97 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-08,546,"2,175","$31,316.10 ",$57.36 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-09,544,"2,139","$30,960.48 ",$56.91 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-10,519,"2,023","$29,194.56 ",$56.25 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-11,496,"1,942","$28,260.97 ",$56.98 ,,,,
BUTTE               ,Breastfeeding Mother  ,2015-12,513,"2,070","$29,716.92 ",$57.93 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-01,543,"2,125","$30,890.93 ",$56.89 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-02,531,"2,103","$30,242.80 ",$56.95 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-03,498,"1,984","$28,138.92 ",$56.50 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-04,519,"2,087","$30,047.08 ",$57.89 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-05,516,"2,089","$29,689.38 ",$57.54 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-06,524,"2,087","$29,182.40 ",$55.69 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-07,487,"1,935","$27,325.56 ",$56.11 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-08,544,"2,209","$31,126.37 ",$57.22 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-09,520,"2,144","$30,238.16 ",$58.15 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-10,546,"2,187","$31,184.07 ",$57.11 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-11,521,"2,024","$29,073.69 ",$55.80 ,,,,
BUTTE               ,Breastfeeding Mother  ,2016-12,501,"2,003","$28,899.29 ",$57.68 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-01,509,"2,024","$28,949.61 ",$56.88 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-02,507,"2,011","$28,847.15 ",$56.90 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-03,540,"2,100","$30,412.81 ",$56.32 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-04,539,"2,129","$30,289.03 ",$56.19 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-05,516,"2,069","$29,640.42 ",$57.44 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-06,510,"2,046","$29,380.57 ",$57.61 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-07,507,"1,977","$28,606.02 ",$56.42 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-08,509,"1,993","$28,722.93 ",$56.43 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-09,504,"1,971","$28,273.67 ",$56.10 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-10,478,"1,829","$26,263.64 ",$54.94 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-11,482,"1,890","$27,481.30 ",$57.02 ,,,,
BUTTE               ,Breastfeeding Mother  ,2017-12,469,"1,805","$26,321.15 ",$56.12 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-01,491,"1,887","$27,691.95 ",$56.40 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-02,480,"1,880","$27,610.56 ",$57.52 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-03,468,"1,803","$26,351.97 ",$56.31 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-04,503,"1,931","$28,030.67 ",$55.73 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-05,505,"1,943","$27,918.23 ",$55.28 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-06,498,"1,923","$27,739.81 ",$55.70 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-07,491,"1,837","$26,300.75 ",$53.57 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-08,480,"1,831","$26,324.20 ",$54.84 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-09,486,"1,882","$26,971.41 ",$55.50 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-10,439,"1,573","$22,130.74 ",$50.41 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-11,396,"1,498","$21,050.68 ",$53.16 ,,,,
BUTTE               ,Breastfeeding Mother  ,2018-12,376,"1,399","$19,690.64 ",$52.37 ,,,,
BUTTE               ,Child  ,2010-01,"3,696","13,237","$167,599.29 ",$45.35 ,,,,
BUTTE               ,Child  ,2010-02,"3,696","13,164","$163,965.16 ",$44.36 ,,,,
BUTTE               ,Child  ,2010-03,"3,760","13,394","$164,877.73 ",$43.85 ,,,,
BUTTE               ,Child  ,2010-04,"3,814","13,675","$165,940.33 ",$43.51 ,,,,
BUTTE               ,Child  ,2010-05,"3,790","13,570","$159,956.69 ",$42.20 ,,,,
BUTTE               ,Child  ,2010-06,"3,845","13,850","$162,222.95 ",$42.19 ,,,,
BUTTE               ,Child  ,2010-07,"3,963","14,152","$165,694.25 ",$41.81 ,,,,
BUTTE               ,Child  ,2010-08,"3,950","14,243","$167,414.91 ",$42.38 ,,,,
BUTTE               ,Child  ,2010-09,"3,784","13,565","$159,657.23 ",$42.19 ,,,,
BUTTE               ,Child  ,2010-10,"3,760","13,277","$157,757.66 ",$41.96 ,,,,
BUTTE               ,Child  ,2010-11,"3,845","13,657","$165,201.07 ",$42.97 ,,,,
BUTTE               ,Child  ,2010-12,"3,831","13,631","$164,857.31 ",$43.03 ,,,,
BUTTE               ,Child  ,2011-01,"3,856","13,829","$165,113.74 ",$42.82 ,,,,
BUTTE               ,Child  ,2011-02,"3,664","13,135","$157,101.61 ",$42.88 ,,,,
BUTTE               ,Child  ,2011-03,"3,818","13,625","$167,525.40 ",$43.88 ,,,,
BUTTE               ,Child  ,2011-04,"3,757","13,538","$168,457.79 ",$44.84 ,,,,
BUTTE               ,Child  ,2011-05,"3,747","13,423","$168,687.76 ",$45.02 ,,,,
BUTTE               ,Child  ,2011-06,"3,875","14,011","$177,923.95 ",$45.92 ,,,,
BUTTE               ,Child  ,2011-07,"3,751","13,413","$172,242.38 ",$45.92 ,,,,
BUTTE               ,Child  ,2011-08,"3,863","13,903","$180,096.46 ",$46.62 ,,,,
BUTTE               ,Child  ,2011-09,"3,825","13,607","$177,623.30 ",$46.44 ,,,,
BUTTE               ,Child  ,2011-10,"3,658","13,099","$170,431.05 ",$46.59 ,,,,
BUTTE               ,Child  ,2011-11,"3,744","13,420","$173,334.60 ",$46.30 ,,,,
BUTTE               ,Child  ,2011-12,"3,697","13,173","$170,490.77 ",$46.12 ,,,,
BUTTE               ,Child  ,2012-01,"3,736","13,354","$172,920.72 ",$46.28 ,,,,
BUTTE               ,Child  ,2012-02,"3,663","13,123","$168,342.02 ",$45.96 ,,,,
BUTTE               ,Child  ,2012-03,"3,692","13,178","$168,246.41 ",$45.57 ,,,,
BUTTE               ,Child  ,2012-04,"3,691","13,244","$168,154.55 ",$45.56 ,,,,
BUTTE               ,Child  ,2012-05,"3,741","13,350","$164,003.98 ",$43.84 ,,,,
BUTTE               ,Child  ,2012-06,"3,821","13,726","$164,801.91 ",$43.13 ,,,,
BUTTE               ,Child  ,2012-07,"3,848","13,804","$167,143.48 ",$43.44 ,,,,
BUTTE               ,Child  ,2012-08,"3,818","13,689","$166,100.28 ",$43.50 ,,,,
BUTTE               ,Child  ,2012-09,"3,677","13,232","$162,006.57 ",$44.06 ,,,,
BUTTE               ,Child  ,2012-10,"3,606","12,913","$161,161.33 ",$44.69 ,,,,
BUTTE               ,Child  ,2012-11,"3,659","13,051","$163,852.48 ",$44.78 ,,,,
BUTTE               ,Child  ,2012-12,"3,471","12,508","$156,667.20 ",$45.14 ,,,,
BUTTE               ,Child  ,2013-01,"3,661","13,039","$163,068.72 ",$44.54 ,,,,
BUTTE               ,Child  ,2013-02,"3,519","12,597","$156,337.13 ",$44.43 ,,,,
BUTTE               ,Child  ,2013-03,"3,445","12,253","$152,007.04 ",$44.12 ,,,,
BUTTE               ,Child  ,2013-04,"3,637","12,990","$160,416.15 ",$44.11 ,,,,
BUTTE               ,Child  ,2013-05,"3,651","13,064","$160,276.31 ",$43.90 ,,,,
BUTTE               ,Child  ,2013-06,"3,668","13,191","$161,322.23 ",$43.98 ,,,,
BUTTE               ,Child  ,2013-07,"3,766","13,511","$166,072.57 ",$44.10 ,,,,
BUTTE               ,Child  ,2013-08,"3,658","13,155","$160,887.96 ",$43.98 ,,,,
BUTTE               ,Child  ,2013-09,"3,599","12,962","$158,550.13 ",$44.05 ,,,,
BUTTE               ,Child  ,2013-10,"3,562","12,622","$154,534.30 ",$43.38 ,,,,
BUTTE               ,Child  ,2013-11,"3,271","11,696","$144,856.57 ",$44.29 ,,,,
BUTTE               ,Child  ,2013-12,"3,351","12,038","$150,248.75 ",$44.84 ,,,,
BUTTE               ,Child  ,2014-01,"3,530","12,645","$158,063.73 ",$44.78 ,,,,
BUTTE               ,Child  ,2014-02,"3,366","12,102","$153,199.29 ",$45.51 ,,,,
BUTTE               ,Child  ,2014-03,"3,416","12,218","$156,349.45 ",$45.77 ,,,,
BUTTE               ,Child  ,2014-04,"3,479","12,598","$162,607.41 ",$46.74 ,,,,
BUTTE               ,Child  ,2014-05,"3,495","12,528","$161,241.27 ",$46.13 ,,,,
BUTTE               ,Child  ,2014-06,"3,455","12,398","$161,895.12 ",$46.86 ,,,,
BUTTE               ,Child  ,2014-07,"3,549","12,666","$168,694.17 ",$47.53 ,,,,
BUTTE               ,Child  ,2014-08,"3,423","12,263","$162,993.43 ",$47.62 ,,,,
BUTTE               ,Child  ,2014-09,"3,396","12,129","$160,188.79 ",$47.17 ,,,,
BUTTE               ,Child  ,2014-10,"3,288","11,469","$152,731.99 ",$46.45 ,,,,
BUTTE               ,Child  ,2014-11,"3,207","11,133","$149,162.87 ",$46.51 ,,,,
BUTTE               ,Child  ,2014-12,"3,083","10,793","$145,918.35 ",$47.33 ,,,,
BUTTE               ,Child  ,2015-01,"3,229","11,294","$151,840.34 ",$47.02 ,,,,
BUTTE               ,Child  ,2015-02,"3,109","10,862","$141,931.53 ",$45.65 ,,,,
BUTTE               ,Child  ,2015-03,"3,139","11,043","$141,454.00 ",$45.06 ,,,,
BUTTE               ,Child  ,2015-04,"3,161","11,168","$141,540.40 ",$44.78 ,,,,
BUTTE               ,Child  ,2015-05,"3,187","11,249","$142,275.52 ",$44.64 ,,,,
BUTTE               ,Child  ,2015-06,"3,284","11,624","$149,664.74 ",$45.57 ,,,,
BUTTE               ,Child  ,2015-07,"3,316","11,713","$152,377.72 ",$45.95 ,,,,
BUTTE               ,Child  ,2015-08,"3,340","11,814","$153,825.39 ",$46.06 ,,,,
BUTTE               ,Child  ,2015-09,"3,207","11,277","$147,334.66 ",$45.94 ,,,,
BUTTE               ,Child  ,2015-10,"3,060","10,669","$138,138.00 ",$45.14 ,,,,
BUTTE               ,Child  ,2015-11,"2,926","10,299","$133,457.49 ",$45.61 ,,,,
BUTTE               ,Child  ,2015-12,"2,975","10,536","$135,006.04 ",$45.38 ,,,,
